,ticker,Date,Posible_compra
0,A,2000-03-16,No
1,A,2000-06-14,No
2,A,2000-09-14,No
3,A,2000-12-15,No
4,A,2001-03-17,No
5,A,2001-06-14,No
6,A,2001-09-14,No
7,A,2001-12-15,Sí
8,A,2002-03-17,Sí
9,A,2002-06-14,Sí
10,A,2002-09-14,Sí
11,A,2002-12-15,Sí
12,A,2003-03-17,Sí
13,A,2003-06-14,No
14,A,2003-09-14,No
15,A,2003-12-15,No
16,A,2004-03-16,No
17,A,2004-06-14,No
18,A,2004-09-14,No
19,A,2004-12-15,Sí
20,A,2005-03-17,Sí
21,A,2005-06-14,Sí
22,A,2005-09-14,Sí
23,A,2005-12-15,No
24,A,2006-03-17,No
25,A,2006-06-14,No
26,A,2006-09-14,Sí
27,A,2006-12-15,No
28,A,2007-03-17,No
29,A,2007-06-14,No
30,A,2007-09-14,No
31,A,2007-12-15,No
32,A,2008-03-16,No
33,A,2008-06-14,Sí
34,A,2008-09-14,No
35,A,2008-12-15,Sí
36,A,2009-03-17,Sí
37,A,2009-06-14,Sí
38,A,2009-09-14,Sí
39,A,2009-12-15,No
40,A,2010-03-17,No
41,A,2010-06-14,No
42,A,2010-09-14,No
43,A,2010-12-15,No
44,A,2011-03-17,No
45,A,2011-06-14,No
46,A,2011-09-14,Sí
47,A,2011-12-15,Sí
48,A,2012-03-16,Sí
49,A,2012-06-14,Sí
50,A,2012-09-14,No
51,A,2012-12-15,No
52,A,2013-03-17,No
53,A,2013-06-14,No
54,A,2013-09-14,No
55,A,2013-12-15,No
56,A,2014-03-17,No
57,A,2014-06-14,No
58,A,2014-09-14,No
59,A,2014-12-15,No
60,A,2015-03-17,Sí
61,A,2015-06-14,No
62,A,2015-09-14,No
63,A,2015-12-15,Sí
64,A,2016-03-16,Sí
65,A,2016-06-14,No
66,A,2016-09-14,No
67,A,2016-12-15,No
68,A,2017-03-17,No
69,A,2017-06-14,No
70,A,2017-09-14,No
71,A,2017-12-15,No
72,A,2018-03-17,No
73,A,2018-06-14,No
74,A,2018-09-14,No
75,A,2018-12-15,No
76,A,2019-03-17,No
77,A,2019-06-14,No
78,A,2019-09-14,No
79,A,2019-12-15,No
80,A,2020-03-16,No
81,A,2020-06-14,No
82,A,2020-09-14,No
83,A,2020-12-15,No
84,A,2021-03-17,No
85,A,2021-06-14,No
86,A,2021-09-14,No
87,A,2021-12-15,No
88,A,2022-03-17,No
89,A,2022-06-14,No
90,A,2022-09-14,Sí
91,A,2022-12-15,Sí
92,AAL,2000-05-15,No
93,AAL,2000-08-14,No
94,AAL,2000-11-14,No
95,AAL,2001-02-14,No
96,AAL,2001-05-15,No
97,AAL,2001-08-14,No
98,AAL,2001-11-14,No
99,AAL,2002-02-14,Sí
100,AAL,2002-05-15,No
101,AAL,2002-08-14,Sí
102,AAL,2002-11-14,Sí
103,AAL,2003-02-14,No
104,AAL,2003-05-15,No
105,AAL,2003-08-14,No
106,AAL,2003-11-14,No
107,AAL,2004-02-14,No
108,AAL,2004-05-15,No
109,AAL,2004-08-14,No
110,AAL,2004-11-14,No
111,AAL,2005-02-14,No
112,AAL,2005-05-15,No
113,AAL,2005-08-14,No
114,AAL,2005-11-14,No
115,AAL,2006-02-14,No
116,AAL,2006-05-15,No
117,AAL,2006-08-14,No
118,AAL,2006-11-14,No
119,AAL,2007-02-14,No
120,AAL,2007-05-15,No
121,AAL,2007-08-14,No
